api_type,kind,wrapper,status,base_type,source,required_api_types,unavailable_api_types
ETcVnWorldCoordinateSystem,Enums,_ETcVnWorldCoordinateSystem,registered,DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcVnWorldCoordinateSystem.TcPOU,,
ETcWatchdogAccumulationType,Enums,_ETcWatchdogAccumulationType,registered,UINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_ETcWatchdogAccumulationType.TcPOU,,
GEV_CAMERA_STATE,Enums,_GEV_CAMERA_STATE,registered,BYTE,src/sln/lib/mobject-graph-vision-pack/Datatypes/Enums/_GEV_CAMERA_STATE.TcPOU,,
GVCP_ADDRESS_VALUE_PAIR,Structs,_GVCP_ADDRESS_VALUE_PAIR,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_GVCP_ADDRESS_VALUE_PAIR.TcPOU,GVCP_REGISTER_ADDRESS; GVCP_REGISTER_VALUE,
GVCP_REGISTER_ADDRESS,Aliases,_GVCP_REGISTER_ADDRESS,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_GVCP_REGISTER_ADDRESS.TcPOU,,
GVCP_REGISTER_VALUE,Aliases,_GVCP_REGISTER_VALUE,registered,UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_GVCP_REGISTER_VALUE.TcPOU,,
GVSP_IMAGE_INFO,Structs,_GVSP_IMAGE_INFO,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_GVSP_IMAGE_INFO.TcPOU,GVSP_LEADER_PAYLOAD_IMAGE,
GVSP_LEADER_PAYLOAD_IMAGE,Structs,_GVSP_LEADER_PAYLOAD_IMAGE,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_GVSP_LEADER_PAYLOAD_IMAGE.TcPOU,GVSP_PIXEL_FORMAT,
GVSP_PIXEL_FORMAT,Structs,_GVSP_PIXEL_FORMAT,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_GVSP_PIXEL_FORMAT.TcPOU,,
TcVnArray10_ITcVnImage,Arrays,_TcVnArray10_ITcVnImage,registered,array [0..9] of ITcVnImage,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnArray10_ITcVnImage.TcPOU,ITcVnImage,
TcVnArray33_UDINT,Arrays,_TcVnArray33_UDINT,registered,array [0..32] of UDINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnArray33_UDINT.TcPOU,,
TcVnArray3_Point2_REAL,Arrays,_TcVnArray3_Point2_REAL,registered,array [0..2] of TcVnPoint2_REAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnArray3_Point2_REAL.TcPOU,TcVnPoint2_REAL,
TcVnArray4_LREAL,Arrays,_TcVnArray4_LREAL,registered,array [0..3] of LREAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnArray4_LREAL.TcPOU,,
TcVnArray4_Point2_REAL,Arrays,_TcVnArray4_Point2_REAL,registered,array [0..3] of TcVnPoint2_REAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnArray4_Point2_REAL.TcPOU,TcVnPoint2_REAL,
TcVnArray7_LREAL,Arrays,_TcVnArray7_LREAL,registered,array [0..6] of LREAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnArray7_LREAL.TcPOU,,
TcVnArray8_LREAL,Arrays,_TcVnArray8_LREAL,registered,array [0..7] of LREAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnArray8_LREAL.TcPOU,,
TcVnCameraCalibrationOptions,Structs,_TcVnCameraCalibrationOptions,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnCameraCalibrationOptions.TcPOU,,
TcVnCircularArc,Structs,_TcVnCircularArc,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnCircularArc.TcPOU,TcVnPoint2_REAL,
TcVnCodeGrades1D,Structs,_TcVnCodeGrades1D,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnCodeGrades1D.TcPOU,,
TcVnCodeGradesDM,Structs,_TcVnCodeGradesDM,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnCodeGradesDM.TcPOU,,
TcVnCodeGradesQR,Structs,_TcVnCodeGradesQR,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnCodeGradesQR.TcPOU,,
TcVnDMatch,Structs,_TcVnDMatch,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnDMatch.TcPOU,,
TcVnImageInfo,Structs,_TcVnImageInfo,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnImageInfo.TcPOU,TcVnPixelFormat,
TcVnKeyPoint,Structs,_TcVnKeyPoint,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnKeyPoint.TcPOU,TcVnPoint2_REAL,
TcVnMatrix,Structs,_TcVnMatrix,excluded_from_build,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnMatrix.TcPOU,ETcVnElementType,
TcVnMatrix2x3_LREAL,Arrays,_TcVnMatrix2x3_LREAL,registered,"array [0..1, 0..2] of LREAL",src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnMatrix2x3_LREAL.TcPOU,,
TcVnMatrix3x3_LREAL,Arrays,_TcVnMatrix3x3_LREAL,registered,"array [0..2, 0..2] of LREAL",src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnMatrix3x3_LREAL.TcPOU,,
TcVnMoments,Structs,_TcVnMoments,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnMoments.TcPOU,,
TcVnParamsAGAST,Structs,_TcVnParamsAGAST,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsAGAST.TcPOU,ETcVnKeypointDetectionTypeAGAST,
TcVnParamsAKAZE,Structs,_TcVnParamsAKAZE,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsAKAZE.TcPOU,ETcVnDiffusivityTypeKAZE; ETcVnFeatureDescriptorTypeAKAZE,
TcVnParamsBRISK,Structs,_TcVnParamsBRISK,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsBRISK.TcPOU,,
TcVnParamsBlobDetection,Structs,_TcVnParamsBlobDetection,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsBlobDetection.TcPOU,ETcVnBlobCombination; ETcVnThresholdType,
TcVnParamsFAST,Structs,_TcVnParamsFAST,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsFAST.TcPOU,ETcVnKeypointDetectionTypeFAST,
TcVnParamsFindRois,Structs,_TcVnParamsFindRois,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsFindRois.TcPOU,TcVnSize2_DINT,
TcVnParamsGFTT,Structs,_TcVnParamsGFTT,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsGFTT.TcPOU,,
TcVnParamsKAZE,Structs,_TcVnParamsKAZE,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsKAZE.TcPOU,ETcVnDiffusivityTypeKAZE,
TcVnParamsMSER,Structs,_TcVnParamsMSER,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsMSER.TcPOU,,
TcVnParamsORB,Structs,_TcVnParamsORB,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsORB.TcPOU,ETcVnFeatureScoreTypeORB,
TcVnParamsSB,Structs,_TcVnParamsSB,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsSB.TcPOU,,
TcVnParamsWalshBarcodeDetection,Structs,_TcVnParamsWalshBarcodeDetection,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnParamsWalshBarcodeDetection.TcPOU,ETcVnInterpolationType,
TcVnPixelFormat,Structs,_TcVnPixelFormat,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnPixelFormat.TcPOU,ETcVnPixelEncoding; ETcVnPixelPackMode,
TcVnPoint,Aliases,_TcVnPoint,registered,TcVnPoint2_DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnPoint.TcPOU,TcVnPoint2_DINT,
TcVnPoint2_DINT,Aliases,_TcVnPoint2_DINT,registered,TcVnVector2_DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnPoint2_DINT.TcPOU,TcVnVector2_DINT,
TcVnPoint2_LREAL,Aliases,_TcVnPoint2_LREAL,registered,TcVnVector2_LREAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnPoint2_LREAL.TcPOU,TcVnVector2_LREAL,
TcVnPoint2_REAL,Aliases,_TcVnPoint2_REAL,registered,TcVnVector2_REAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnPoint2_REAL.TcPOU,TcVnVector2_REAL,
TcVnPoint3_LREAL,Aliases,_TcVnPoint3_LREAL,registered,TcVnVector3_LREAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnPoint3_LREAL.TcPOU,TcVnVector3_LREAL,
TcVnPoint3_REAL,Aliases,_TcVnPoint3_REAL,registered,TcVnVector3_REAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnPoint3_REAL.TcPOU,TcVnVector3_REAL,
TcVnRectangle,Aliases,_TcVnRectangle,registered,TcVnRectangle_DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnRectangle.TcPOU,TcVnRectangle_DINT,
TcVnRectangle_DINT,Structs,_TcVnRectangle_DINT,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnRectangle_DINT.TcPOU,,
TcVnRectangle_UDINT,Structs,_TcVnRectangle_UDINT,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnRectangle_UDINT.TcPOU,,
TcVnRotatedRectangle,Structs,_TcVnRotatedRectangle,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnRotatedRectangle.TcPOU,TcVnPoint2_REAL; TcVnSize2_REAL,
TcVnSize2_DINT,Structs,_TcVnSize2_DINT,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnSize2_DINT.TcPOU,,
TcVnSize2_REAL,Structs,_TcVnSize2_REAL,registered,,src/sln/lib/mobject-graph-vision-pack/Datatypes/Structs/_TcVnSize2_REAL.TcPOU,,
TcVnVector2_DINT,Arrays,_TcVnVector2_DINT,registered,array [0..1] of DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector2_DINT.TcPOU,,
TcVnVector2_INT,Arrays,_TcVnVector2_INT,registered,array [0..1] of INT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector2_INT.TcPOU,,
TcVnVector2_LREAL,Arrays,_TcVnVector2_LREAL,registered,array [0..1] of LREAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector2_LREAL.TcPOU,,
TcVnVector2_REAL,Arrays,_TcVnVector2_REAL,registered,array [0..1] of REAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector2_REAL.TcPOU,,
TcVnVector2_SINT,Arrays,_TcVnVector2_SINT,registered,array [0..1] of SINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector2_SINT.TcPOU,,
TcVnVector2_UINT,Arrays,_TcVnVector2_UINT,registered,array [0..1] of UINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector2_UINT.TcPOU,,
TcVnVector2_USINT,Arrays,_TcVnVector2_USINT,registered,array [0..1] of USINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector2_USINT.TcPOU,,
TcVnVector3_INT,Arrays,_TcVnVector3_INT,registered,array [0..2] of INT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector3_INT.TcPOU,,
TcVnVector3_LREAL,Arrays,_TcVnVector3_LREAL,registered,array [0..2] of LREAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector3_LREAL.TcPOU,,
TcVnVector3_REAL,Arrays,_TcVnVector3_REAL,registered,array [0..2] of REAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector3_REAL.TcPOU,,
TcVnVector3_SINT,Arrays,_TcVnVector3_SINT,registered,array [0..2] of SINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector3_SINT.TcPOU,,
TcVnVector3_UINT,Arrays,_TcVnVector3_UINT,registered,array [0..2] of UINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector3_UINT.TcPOU,,
TcVnVector3_USINT,Arrays,_TcVnVector3_USINT,registered,array [0..2] of USINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector3_USINT.TcPOU,,
TcVnVector4_DINT,Arrays,_TcVnVector4_DINT,registered,array [0..3] of DINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector4_DINT.TcPOU,,
TcVnVector4_INT,Arrays,_TcVnVector4_INT,registered,array [0..3] of INT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector4_INT.TcPOU,,
TcVnVector4_LREAL,Arrays,_TcVnVector4_LREAL,registered,array [0..3] of LREAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector4_LREAL.TcPOU,,
TcVnVector4_REAL,Arrays,_TcVnVector4_REAL,registered,array [0..3] of REAL,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector4_REAL.TcPOU,,
TcVnVector4_SINT,Arrays,_TcVnVector4_SINT,registered,array [0..3] of SINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector4_SINT.TcPOU,,
TcVnVector4_UINT,Arrays,_TcVnVector4_UINT,registered,array [0..3] of UINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector4_UINT.TcPOU,,
TcVnVector4_USINT,Arrays,_TcVnVector4_USINT,registered,array [0..3] of USINT,src/sln/lib/mobject-graph-vision-pack/Datatypes/Aliases/_TcVnVector4_USINT.TcPOU,,
